customers served     | total arrivals       | total queue          | dropped customers    | clock (min)          | response time (min)  | server utilization   | drop rate (min^-1)   | drop rate (%)       
48813                | 49109                | 605.59539742372      | 299                  | 1440                 | 0.10761427772305751  | 0.6454870915444147   | 0.2076388888888889   | 0.608849701684009
48565                | 48931                | 621.1009774082049    | 366                  | 1440                 | 0.10793375256985903  | 0.6417689653350184   | 0.25416666666666665  | 0.7479920704665753
48670                | 49041                | 622.2212639737991    | 371                  | 1440                 | 0.10823743784236776  | 0.6452155748802915   | 0.25763888888888886  | 0.7565098590974898
48756                | 49130                | 599.4007437521504    | 374                  | 1440                 | 0.10763755593180974  | 0.6456164869961204   | 0.25972222222222224  | 0.7612456747404844
48242                | 48678                | 645.1965483328095    | 436                  | 1440                 | 0.10935880744891241  | 0.6430982936342696   | 0.30277777777777776  | 0.8956818275196187
48566                | 48949                | 614.1125444058125    | 383                  | 1440                 | 0.10761822804900013  | 0.6406411366595208   | 0.2659722222222222   | 0.7824470367116796
48672                | 49035                | 623.485736848088     | 363                  | 1440                 | 0.10855893352922687  | 0.647208604698414    | 0.2520833333333333   | 0.7402875497093913
48711                | 49055                | 634.6870859140909    | 344                  | 1440                 | 0.1088665453891042   | 0.64840331658198     | 0.2388888888888889   | 0.701253694832331
48919                | 49251                | 611.8443709985586    | 332                  | 1440                 | 0.10752955522400452  | 0.6456709636784622   | 0.23055555555555557  | 0.6740979878581146
48488                | 48950                | 646.9193326058303    | 462                  | 1440                 | 0.10893022081921727  | 0.6436995200181875   | 0.32083333333333336  | 0.943820224719101
48119                | 48482                | 597.5023532834748    | 363                  | 1440                 | 0.10756021329038813  | 0.6358533433439363   | 0.2520833333333333   | 0.7487314879749185
48545                | 48958                | 590.4907941092242    | 413                  | 1440                 | 0.10728111955117653  | 0.6412639623422229   | 0.28680555555555554  | 0.8435802116099514
48732                | 49094                | 630.4249568053638    | 362                  | 1440                 | 0.1080642170449291   | 0.6439512331707099   | 0.2513888888888889   | 0.7373609809752719
48809                | 49313                | 685.3870938582986    | 504                  | 1440                 | 0.11017562734035363  | 0.6516564327284026   | 0.35                 | 1.0220428690203394
48613                | 48991                | 614.0091520744172    | 378                  | 1440                 | 0.10818022094192499  | 0.645107626437339    | 0.2625               | 0.771570288420322
48468                | 48831                | 610.2612822821538    | 363                  | 1440                 | 0.10737979507573266  | 0.6381208878718091   | 0.2520833333333333   | 0.743380229772071
48596                | 48947                | 632.452357926406     | 351                  | 1440                 | 0.10860950691451499  | 0.6452376488627535   | 0.24375              | 0.7171021717367766
48315                | 48718                | 610.6348197775224    | 403                  | 1440                 | 0.1075478775661464   | 0.6368790264931995   | 0.2798611111111111   | 0.8272096555687836
48572                | 48880                | 568.5571305882331    | 308                  | 1440                 | 0.10576762067128365  | 0.6345483440700228   | 0.21388888888888888  | 0.630114566284779
49100                | 49487                | 655.5469650662999    | 385                  | 1440                 | 0.10934912583548051  | 0.6546167176119541   | 0.2673611111111111   | 0.7779820963081213
48416                | 48840                | 611.315572619118     | 424                  | 1440                 | 0.10764169926781246  | 0.6389156458258446   | 0.29444444444444445  | 0.8681408681408681
48906                | 49353                | 657.2946134738886    | 449                  | 1440                 | 0.10931627841564377  | 0.6512795390883764   | 0.31180555555555556  | 0.9097724555751424
48326                | 48696                | 605.8861532397859    | 370                  | 1440                 | 0.10771884220569385  | 0.6388630992234761   | 0.2569444444444444   | 0.7598160013142763
48562                | 48993                | 665.4667656326637    | 430                  | 1440                 | 0.10988177830579395  | 0.6485898932929484   | 0.2986111111111111   | 0.8776764027514135
48569                | 48974                | 628.4998736820271    | 406                  | 1440                 | 0.10825741952476618  | 0.6430690778932389   | 0.28194444444444444  | 0.829011312124801
48549                | 48955                | 606.2707278211456    | 406                  | 1440                 | 0.10738783473679046  | 0.6398904268594281   | 0.28194444444444444  | 0.8293330609743642
48500                | 48924                | 620.4084470117523    | 422                  | 1440                 | 0.10826393411232885  | 0.643134878522672    | 0.29305555555555557  | 0.8625623415910392
48764                | 49120                | 624.8313014859596    | 358                  | 1440                 | 0.10808925356624458  | 0.6452670167801788   | 0.24861111111111112  | 0.7288273615635179
48623                | 49080                | 626.5264961696084    | 457                  | 1440                 | 0.10845106042696703  | 0.6453203981319794   | 0.3173611111111111   | 0.9311328443357784
48863                | 49200                | 631.7732685957162    | 336                  | 1440                 | 0.10814993609378601  | 0.6462539818434858   | 0.23333333333333334  | 0.6829268292682927
48464                | 48879                | 623.7885862600524    | 416                  | 1440                 | 0.10808570916807685  | 0.6409097512101222   | 0.28888888888888886  | 0.8510812414329262
48782                | 49187                | 642.0549081316276    | 405                  | 1440                 | 0.10846566626222956  | 0.645728724063573    | 0.28125              | 0.8233882936548275
48675                | 49019                | 636.2816617543285    | 344                  | 1440                 | 0.10862769534809924  | 0.6460041663222328   | 0.2388888888888889   | 0.7017687019319039
48831                | 49250                | 611.3922897729208    | 419                  | 1440                 | 0.10718805071224441  | 0.6419614503202993   | 0.29097222222222224  | 0.8507614213197969
48571                | 48978                | 634.7310095355206    | 407                  | 1440                 | 0.10868789396707104  | 0.6451321636342767   | 0.2826388888888889   | 0.830985340356895
48555                | 48913                | 611.3736166273011    | 358                  | 1440                 | 0.1079573148976521   | 0.6430998100537352   | 0.24861111111111112  | 0.7319117616993437
48450                | 48815                | 591.120208405162     | 365                  | 1440                 | 0.10702161725510077  | 0.6380440706864533   | 0.2534722222222222   | 0.7477209874014135
48705                | 49092                | 624.9930864069902    | 387                  | 1440                 | 0.10827680558253225  | 0.6456854311341663   | 0.26875              | 0.7883158152041065
